chain	clen	end	method	resolution	start	structid	unp
A	1.0	234.0	x-ray diffraction	2.1	2.0	1TFF	Q96DC9
A	1.0	182.0	x-ray diffraction	1.8	3.0	3COU	Q96DE0
S	1.0	107.0	x-ray diffraction	3.25	74.0	4RG9	Q96DE5
D	1.0	256.0	x-ray diffraction	2.2	26.0	4F9Z	Q96DN0
A	1.0	215.0	x-ray diffraction	3.0	24.0	2IF7	Q96DU3
A	1.0	683.0	x-ray diffraction	2.6	425.0	2A98	Q96DU7
D	1.0	294.0	x-ray diffraction	2.85	19.0	3ZNG	Q96DX5
A	1.0	366.0	solution nmr	-1.0	285.0	2CP0	Q96DZ5
B	1.0	147.0	x-ray diffraction	1.55	13.0	3MXN	Q96E14
A	1.0	417.0	x-ray diffraction	2.71	148.0	3OPG	Q96E29
C	1.0	186.0	x-ray diffraction	1.8	75.0	3FF7	Q96E93
A	1.0	660.0	x-ray diffraction	2.74	143.0	4ZZJ	Q96EB6
A	1.0	503.0	x-ray diffraction	2.8	125.0	4Y7I	Q96EF0
A	1.0	80.0	solution nmr	-1.0	2.0	2LAU	Q96EK4
A	1.0	184.0	x-ray diffraction	2.7	1.0	3CXS	Q96EK6
A	1.0	1072.0	x-ray diffraction	2.0	1.0	4OYK	Q96EP0
A	1.0	664.0	x-ray diffraction	1.98	14.0	2XP0	Q96EP1
A	1.0	195.0	solution nmr	-1.0	1.0	2DGS	Q96EP5
A	1.0	291.0	x-ray diffraction	1.26	115.0	3MEA	Q96ES7
A	1.0	303.0	solution nmr	-1.0	93.0	2DN9	Q96EY1
A	1.0	240.0	x-ray diffraction	2.5	57.0	2IDX	Q96EY8
A	1.0	170.0	x-ray diffraction	1.84	2.0	2Q4V	Q96F10
A	1.0	86.0	x-ray diffraction	1.5	5.0	4ZEY	Q96F24
C	1.0	591.0	x-ray diffraction	3.15	33.0	4HSA	Q96F46
A	1.0	507.0	x-ray diffraction	2.8	3.0	3D3J	Q96F86
A	1.0	516.0	x-ray diffraction	3.23	40.0	4OQT	Q96FE5
A	1.0	290.0	x-ray diffraction	2.6	2.0	4NRV	Q96FI4
A	1.0	436.0	x-ray diffraction	1.2	264.0	2ZNR	Q96FJ0
A	1.0	89.0	x-ray diffraction	1.31	1.0	2XQQ	Q96FJ2
A	1.0	103.0	solution nmr	-1.0	2.0	2L51	Q96FQ6
A	1.0	657.0	solution nmr	-1.0	561.0	1WXP	Q96FV9
A	1.0	271.0	x-ray diffraction	3.3	23.0	4DDG	Q96FW1
A	1.0	81.0	solution nmr	-1.0	1.0	2JR7	Q96FX2
A	1.0	289.0	x-ray diffraction	3.6	1.0	5CD1	Q96FX7
B	1.0	179.0	x-ray diffraction	2.0	11.0	3HTU	Q96FZ7
P	1.0	144.0	solution nmr	-1.0	135.0	1JMQ	Q96G27
A	1.0	342.0	x-ray diffraction	1.7	172.0	3PFY	Q96G74
A	1.0	328.0	x-ray diffraction	2.8	11.0	2RKB	Q96GA7
A	1.0	296.0	x-ray diffraction	2.4	1.0	2CFS	Q96GD0
A	1.0	235.0	x-ray diffraction	1.75	27.0	2P0K	Q96GD3
A	1.0	339.0	x-ray diffraction	2.75	71.0	4AF3	Q96GD4
E	1.0	258.0	x-ray diffraction	3.11	62.0	4P5O	Q96GG9
A	1.0	321.0	solution nmr	-1.0	285.0	2FC6	Q96GM8
A	1.0	242.0	x-ray diffraction	2.0	20.0	4M6R	Q96GX9
A	1.0	252.0	x-ray diffraction	2.61	34.0	3CUQ	Q96H20
A	1.0	202.0	x-ray diffraction	1.5	2.0	3C9Q	Q96HA8
D	1.0	83.0	x-ray diffraction	1.5	1.0	2UZC	Q96HC4
A	1.0	465.0	x-ray diffraction	2.35	34.0	3AHQ	Q96HE7
A	1.0	342.0	solution nmr	-1.0	276.0	2D8H	Q96HL8
A	1.0	607.0	x-ray diffraction	2.25	175.0	3GVP	Q96HN2
A	1.0	276.0	solution nmr	-1.0	181.0	2EQN	Q96HR8
A	1.0	289.0	x-ray diffraction	1.7	90.0	3MXO	Q96HS1
A	1.0	176.0	x-ray diffraction	1.65	5.0	2ERX	Q96HU8
A	1.0	401.0	x-ray diffraction	2.0	301.0	2PE8	Q96I25
A	1.0	108.0	solution nmr	-1.0	1.0	2LOR	Q96I45
A	1.0	209.0	x-ray diffraction	2.2	2.0	1IMJ	Q96IU4
A	1.0	109.0	x-ray diffraction	1.9	11.0	2CM0	Q96IV0
D	1.0	274.0	x-ray diffraction	2.8	266.0	4NF9	Q96IY1
A	1.0	423.0	x-ray diffraction	3.4	24.0	3D67	Q96IY4
B	1.0	74.0	x-ray diffraction	1.79	67.0	2JK9	Q96IZ0
A	1.0	392.0	solution nmr	-1.0	291.0	2CPX	Q96IZ5
A	1.0	897.0	x-ray diffraction	2.27	13.0	3TUG	Q96J02
A	1.0	132.0	solution nmr	-1.0	38.0	2DGQ	Q96J87
C	1.0	1020.0	x-ray diffraction	1.56	557.0	4CHB	Q96J92
X	1.0	399.0	x-ray diffraction	2.8	266.0	3O3I	Q96J94
A	1.0	781.0	x-ray diffraction	2.76	42.0	4U7M	Q96JA1
A	1.0	1069.0	solution nmr	-1.0	51.0	1UM1	Q96JH8
B	1.0	25.0	x-ray diffraction	3.0	13.0	3I89	Q96JK2
A	1.0	1948.0	solution nmr	-1.0	1874.0	1X6F	Q96JM2
A	1.0	562.0	x-ray diffraction	2.29	231.0	4L59	Q96JM7
A	1.0	405.0	solution nmr	-1.0	343.0	2COB	Q96JN0
A	1.0	205.0	solution nmr	-1.0	43.0	2E63	Q96JN8
A	1.0	456.0	solution nmr	-1.0	370.0	2M9A	Q96JP5
A	1.0	80.0	solution nmr	-1.0	1.0	2CTO	Q96JY0
A	1.0	333.0	x-ray diffraction	1.7	1.0	2PA1	Q96JY6
A	1.0	173.0	x-ray diffraction	2.0	6.0	1YZG	Q96KC2
A	1.0	543.0	solution nmr	-1.0	327.0	2CQR	Q96KC8
A	1.0	183.0	x-ray diffraction	1.9	77.0	2VKP	Q96KE9
A	1.0	577.0	solution nmr	-1.0	493.0	2GQJ	Q96KM6
A	1.0	506.0	x-ray diffraction	2.26	30.0	3DLJ	Q96KN2
B	1.0	1283.0	x-ray diffraction	1.83	1097.0	4QAM	Q96KN7
A	1.0	1193.0	x-ray diffraction	1.7	179.0	3K5K	Q96KQ7
A	1.0	2082.0	x-ray diffraction	1.75	1852.0	3OOI	Q96L73
A	1.0	265.0	x-ray diffraction	1.74	162.0	4HAS	Q96L92
A	1.0	1312.0	x-ray diffraction	2.2	1179.0	2V14	Q96L93
A	1.0	120.0	solution nmr	-1.0	2.0	2ETT	Q96L94
A	1.0	375.0	x-ray diffraction	2.52	25.0	4QPP	Q96LA8
A	1.0	373.0	x-ray diffraction	2.1	214.0	2EAX	Q96LB8
A	1.0	341.0	x-ray diffraction	1.65	177.0	1SK4	Q96LB9
A	1.0	212.0	x-ray diffraction	2.2	1.0	1XT9	Q96LD8
A	1.0	541.0	x-ray diffraction	2.4	169.0	3NGN	Q96LI5
A	1.0	262.0	x-ray diffraction	1.8	3.0	2QQ5	Q96LJ7
A	1.0	124.0	solution nmr	-1.0	39.0	2YUA	Q96LL9
A	1.0	201.0	x-ray diffraction	1.85	55.0	1Y6L	Q96LR5
A	1.0	506.0	x-ray diffraction	2.5	387.0	3EGN	Q96LT9
A	1.0	99.0	x-ray diffraction	1.58	3.0	4DWN	Q96LW7
A	1.0	224.0	solution nmr	-1.0	142.0	2CTD	Q96ME7
A	1.0	140.0	solution nmr	-1.0	80.0	2DB6	Q96MF2
A	1.0	247.0	solution nmr	-1.0	167.0	2YU4	Q96MF7
B	1.0	294.0	x-ray diffraction	2.92	78.0	3NW0	Q96MG7
A	1.0	95.0	x-ray diffraction	2.28	5.0	4EWI	Q96MN2
A	1.0	509.0	x-ray diffraction	1.8	337.0	4R3I	Q96MU7
A	1.0	353.0	x-ray diffraction	1.95	5.0	3I2N	Q96MX6
B	1.0	308.0	x-ray diffraction	3.0	244.0	1YHN	Q96NA2
D	1.0	620.0	x-ray diffraction	2.8	452.0	4CYM	Q96NW4
A	1.0	302.0	x-ray diffraction	1.7	18.0	2JAM	Q96NX5
B	1.0	243.0	x-ray diffraction	3.1	32.0	4GJT	Q96NY8
A	1.0	551.0	x-ray diffraction	6.0	128.0	4P0S	Q96NY9
A	1.0	411.0	solution nmr	-1.0	357.0	2DDJ	Q96NZ8
A	1.0	95.0	x-ray diffraction	2.7	1.0	1XB1	Q96P09
A	1.0	425.0	x-ray diffraction	1.65	133.0	2B9E	Q96P11
A	1.0	132.0	x-ray diffraction	2.0	2.0	4NAC	Q96P16
A	1.0	110.0	x-ray diffraction	1.7	5.0	3QF2	Q96P20
A	1.0	289.0	x-ray diffraction	1.92	126.0	3IHW	Q96P47
S	1.0	145.0	x-ray diffraction	7.0	1.0	4HMY	Q96PC3
A	1.0	162.0	x-ray diffraction	2.85	36.0	1JPY	Q96PD4
A	1.0	176.0	x-ray diffraction	1.8	45.0	3RMU	Q96PE7
A	1.0	153.0	solution nmr	-1.0	77.0	2DNP	Q96PK6
A	1.0	261.0	solution nmr	-1.0	1.0	2JRJ	Q96PM5
A	1.0	469.0	x-ray diffraction	2.2	1.0	4CLK	Q96PN6
A	1.0	869.0	solution nmr	-1.0	760.0	1WGO	Q96PQ0
A	1.0	802.0	solution nmr	-1.0	1.0	1WY8	Q96PU4
C	1.0	970.0	x-ray diffraction	3.1	6.0	3JW0	Q96PU5
A	1.0	204.0	x-ray diffraction	3.5	12.0	4JVH	Q96PU8
A	1.0	579.0	x-ray diffraction	3.19	22.0	4RCW	Q96PX8
B	1.0	377.0	x-ray diffraction	2.5	32.0	4YC7	Q96PY5
A	1.0	284.0	x-ray diffraction	1.9	1.0	4B9D	Q96PY6
A	1.0	434.0	x-ray diffraction	3.4	28.0	1OU5	Q96Q11
A	1.0	279.0	x-ray diffraction	1.5	70.0	2IUW	Q96Q83
A	1.0	1279.0	solution nmr	-1.0	451.0	2GYT	Q96QB1
C	1.0	476.0	x-ray diffraction	2.6	173.0	4UJ5	Q96QF0
C	1.0	780.0	x-ray diffraction	2.8	483.0	2R17	Q96QK1
A	1.0	241.0	solution nmr	-1.0	200.0	2LKM	Q96QT6
C	1.0	671.0	x-ray diffraction	2.6	214.0	2WG3	Q96QV1
B	1.0	1361.0	x-ray diffraction	2.4	295.0	1WBP	Q96QZ7
A	1.0	134.0	x-ray diffraction	2.0	2.0	1LPJ	Q96R05
A	1.0	123.0	x-ray diffraction	2.3	2.0	4U2N	Q96RE7
A	1.0	1274.0	x-ray diffraction	2.3	131.0	3DLS	Q96RG2
P	1.0	53.0	x-ray diffraction	1.8	39.0	2ZPK	Q96RI0
A	1.0	486.0	x-ray diffraction	2.95	257.0	3DCU	Q96RI1
K	1.0	46.0	x-ray diffraction	2.5	13.0	1OQE	Q96RJ3
A	1.0	48.0	solution nmr	-1.0	21.0	2M41	Q96RK0
A	1.0	131.0	solution nmr	-1.0	74.0	2MKG	Q96RL1
A	1.0	78.0	solution nmr	-1.0	5.0	2GUT	Q96RN5
A	1.0	109.0	solution nmr	-1.0	72.0	2RMG	Q96RP3
A	1.0	725.0	solution nmr	-1.0	640.0	2EJM	Q96RQ3
A	1.0	448.0	x-ray diffraction	2.4	160.0	2ZV2	Q96RR4
A	1.0	848.0	x-ray diffraction	2.21	634.0	3EGI	Q96RS0
A	1.0	1419.0	x-ray diffraction	1.0	1321.0	2H3L	Q96RT1
A	1.0	132.0	solution nmr	-1.0	22.0	2LVA	Q96RU2
A	1.0	288.0	x-ray diffraction	2.61	2.0	2EFL	Q96RU3
A	1.0	313.0	x-ray diffraction	1.91	257.0	4N1D	Q96S42
A	1.0	46.0	x-ray diffraction	1.9	13.0	3VHS	Q96S55
A	1.0	380.0	solution nmr	-1.0	336.0	2DEN	Q96S82
A	1.0	95.0	solution nmr	-1.0	32.0	2DJP	Q96S90
A	1.0	655.0	x-ray diffraction	2.4	63.0	1WBP	Q96SB4
B	1.0	495.0	x-ray diffraction	2.55	485.0	3W1G	Q96SD1
A	1.0	793.0	solution nmr	-1.0	285.0	2EQ2	Q96SE7
A	1.0	461.0	solution nmr	-1.0	378.0	2DMY	Q96SI9
A	1.0	177.0	x-ray diffraction	2.0	23.0	2P31	Q96SL4
B	1.0	428.0	x-ray diffraction	1.1	48.0	4M91	Q96SW2
A	1.0	708.0	x-ray diffraction	3.0	627.0	2YW8	Q96T51
A	1.0	3664.0	x-ray diffraction	1.8	335.0	1OW1	Q96T58
A	1.0	108.0	x-ray diffraction	1.4	8.0	2BRF	Q96T60
A	1.0	235.0	x-ray diffraction	2.2	3.0	1NUS	Q96T66
B	1.0	331.0	x-ray diffraction	2.8	26.0	2D9Q	Q99062
R	1.0	208.0	x-ray diffraction	2.65	107.0	1XDT	Q99075
B	1.0	196.0	solution nmr	-1.0	11.0	2KNH	Q99081
A	1.0	1929.0	solution nmr	-1.0	1777.0	2KAV	Q99250
A	1.0	594.0	x-ray diffraction	2.3	93.0	2OKJ	Q99259
A	1.0	94.0	x-ray diffraction	2.4	42.0	2YY0	Q99417
A	1.0	249.0	x-ray diffraction	1.95	51.0	4JWL	Q99418
A	1.0	152.0	solution nmr	-1.0	20.0	1WYN	Q99439
A	1.0	351.0	x-ray diffraction	2.0	19.0	3ELB	Q99447
A	1.0	111.0	solution nmr	-1.0	7.0	2DIN	Q99459
A	1.0	626.0	x-ray diffraction	2.8	26.0	3B2D	Q99467
A	1.0	558.0	x-ray diffraction	1.5	66.0	2IWR	Q99490
A	1.0	333.0	x-ray diffraction	1.7	10.0	3IXS	Q99496
B	1.0	189.0	x-ray diffraction	1.5	1.0	2R1U	Q99497
A	1.0	831.0	x-ray diffraction	2.0	86.0	3F6K	Q99523
A	1.0	433.0	x-ray diffraction	3.9	26.0	4FGU	Q99538
A	1.0	621.0	solution nmr	-1.0	551.0	2M2E	Q99543
A	1.0	115.0	x-ray diffraction	2.49	55.0	3QO2	Q99549
A	1.0	399.0	x-ray diffraction	2.4	58.0	3N7Q	Q99551
A	1.0	407.0	x-ray diffraction	2.09	22.0	3FGQ	Q99574
A	1.0	137.0	x-ray diffraction	2.0	42.0	3ZP5	Q99581
B	1.0	98.0	solution nmr	-1.0	1.0	2KI4	Q99584
A	1.0	238.0	x-ray diffraction	1.9	52.0	2X6U	Q99593
K	1.0	274.0	x-ray diffraction	2.95	31.0	3QB5	Q99598
A	1.0	90.0	x-ray diffraction	1.7	26.0	2RA4	Q99616
A	1.0	219.0	x-ray diffraction	1.8	26.0	3EMW	Q99619
H	1.0	209.0	x-ray diffraction	4.08	11.0	4D18	Q99627
A	1.0	122.0	solution nmr	-1.0	60.0	2DK4	Q99633
A	1.0	270.0	x-ray diffraction	2.9	1.0	3G65	Q99638
A	1.0	362.0	x-ray diffraction	1.7	76.0	3P1A	Q99640
A	1.0	195.0	solution nmr	-1.0	1.0	2E30	Q99653
A	1.0	716.0	x-ray diffraction	2.15	227.0	2HEH	Q99661
A	1.0	318.0	solution nmr	-1.0	264.0	2EA5	Q99675
A	1.0	941.0	x-ray diffraction	2.43	670.0	4BIB	Q99683
A	1.0	297.0	x-ray diffraction	2.7	6.0	3JWE	Q99685
P	1.0	151.0	solution nmr	-1.0	92.0	2L7F	Q99697
B	1.0	928.0	x-ray diffraction	1.7	913.0	3KTR	Q99700
A	1.0	254.0	x-ray diffraction	1.6	152.0	2V76	Q99704
B	1.0	218.0	x-ray diffraction	2.8	30.0	3WYR	Q99706
A	1.0	1264.0	x-ray diffraction	2.7	17.0	4CCZ	Q99707
A	1.0	685.0	solution nmr	-1.0	18.0	2L4Z	Q99708
A	1.0	261.0	x-ray diffraction	2.0	1.0	1U7T	Q99714
B	1.0	777.0	solution nmr	-1.0	26.0	1JM7	Q99728
A	1.0	145.0	x-ray diffraction	2.15	65.0	3S7R	Q99729
A	1.0	98.0	solution nmr	-1.0	22.0	2MP1	Q99731
F	1.0	100.0	x-ray diffraction	1.7	89.0	2CCH	Q99741
A	1.0	166.0	x-ray diffraction	2.01	60.0	1UVZ	Q99757
A	1.0	157.0	solution nmr	-1.0	1.0	2PPH	Q99759
A	1.0	480.0	x-ray diffraction	2.11	225.0	4XAT	Q99784
A	1.0	189.0	solution nmr	-1.0	132.0	2L9R	Q99801
A	1.0	350.0	solution nmr	-1.0	239.0	1P97	Q99814
A	1.0	304.0	x-ray diffraction	2.0	2.0	1S1Q	Q99816
A	1.0	191.0	solution nmr	-1.0	8.0	2LM5	Q99828
A	1.0	553.0	x-ray diffraction	2.6	190.0	4QIN	Q99835
F	1.0	130.0	x-ray diffraction	3.4	33.0	3MOP	Q99836
A	1.0	351.0	x-ray diffraction	2.21	218.0	4LJX	Q99856
A	1.0	268.0	x-ray diffraction	1.9	17.0	4H4F	Q99895
B	1.0	217.0	x-ray diffraction	2.1	29.0	3FZK	Q99933
A	1.0	295.0	x-ray diffraction	2.0	6.0	4GFU	Q99952
A	1.0	347.0	x-ray diffraction	1.83	202.0	2HXP	Q99956
A	1.0	162.0	solution nmr	-1.0	70.0	1D5V	Q99958
A	1.0	620.0	x-ray diffraction	1.55	346.0	3TT9	Q99959
A	1.0	247.0	x-ray diffraction	2.9	9.0	1X04	Q99962
A	1.0	352.0	x-ray diffraction	2.49	1.0	2Z0V	Q99963
A	1.0	269.0	solution nmr	-1.0	216.0	1R8U	Q99967
A	1.0	502.0	x-ray diffraction	2.15	244.0	4WXQ	Q99972
A	1.0	396.0	solution nmr	-1.0	1.0	2KTY	Q99986
A	1.0	492.0	x-ray diffraction	2.9	7.0	4B92	Q9BPU6
A	1.0	259.0	x-ray diffraction	2.4	3.0	1YDE	Q9BPX1
A	1.0	467.0	x-ray diffraction	3.2	102.0	4NSC	Q9BPX6
C	1.0	127.0	x-ray diffraction	1.4	106.0	3KUS	Q9BPZ3
A	1.0	491.0	x-ray diffraction	2.0	372.0	3VOQ	Q9BPZ7
A	1.0	153.0	solution nmr	-1.0	75.0	2DGT	Q9BQ04
B	1.0	111.0	x-ray diffraction	2.0	5.0	4OWT	Q9BQ15
A	1.0	252.0	solution nmr	-1.0	107.0	2RRF	Q9BQ24
A	1.0	659.0	solution nmr	-1.0	575.0	2E29	Q9BQ39
A	1.0	271.0	x-ray diffraction	2.5	45.0	1Y97	Q9BQ50
A	1.0	265.0	x-ray diffraction	1.1	79.0	4H7W	Q9BQ65
A	1.0	325.0	x-ray diffraction	1.7	91.0	2X47	Q9BQ69
B	1.0	329.0	x-ray diffraction	2.06	19.0	4GQB	Q9BQA1
A	1.0	213.0	solution nmr	-1.0	25.0	2K8P	Q9BQB4
A	1.0	121.0	x-ray diffraction	1.5	52.0	2Q2F	Q9BQE4
A	1.0	1047.0	x-ray diffraction	2.4	744.0	3EAY	Q9BQF6
A	1.0	151.0	x-ray diffraction	2.45	17.0	2VTG	Q9BQI0
A	1.0	207.0	x-ray diffraction	1.96	12.0	4REY	Q9BQQ3
B	1.0	1288.0	x-ray diffraction	1.53	1277.0	5D94	Q9BQS8
A	1.0	284.0	x-ray diffraction	2.24	13.0	1ZD1	Q9BR01
A	1.0	137.0	solution nmr	-1.0	42.0	2COP	Q9BR61
A	1.0	122.0	x-ray diffraction	1.8	4.0	1WOU	Q9BRA2
A	1.0	176.0	x-ray diffraction	2.0	4.0	3HTU	Q9BRG1
A	1.0	207.0	x-ray diffraction	1.7	9.0	3KVH	Q9BRJ7
A	1.0	397.0	x-ray diffraction	1.65	327.0	4UP5	Q9BRQ0
A	1.0	440.0	x-ray diffraction	1.91	321.0	2P0F	Q9BRR9
A	1.0	430.0	x-ray diffraction	2.7	163.0	4OTP	Q9BRS2
A	1.0	295.0	solution nmr	-1.0	70.0	2MTF	Q9BRS8
A	1.0	115.0	solution nmr	-1.0	1.0	2LJK	Q9BRT3
D	1.0	223.0	x-ray diffraction	2.3	20.0	2E9X	Q9BRT9
A	1.0	371.0	solution nmr	-1.0	261.0	1X52	Q9BRX2
C	1.0	232.0	x-ray diffraction	2.3	1.0	2E9X	Q9BRX5
A	1.0	401.0	x-ray diffraction	2.6	32.0	2R2J	Q9BS26
B	1.0	217.0	x-ray diffraction	1.6	1.0	2BO9	Q9BS40
A	1.0	210.0	x-ray diffraction	1.63	1.0	5C50	Q9BSB4
A	1.0	190.0	solution nmr	-1.0	2.0	2I3B	Q9BSD7
A	1.0	85.0	solution nmr	-1.0	9.0	2KDB	Q9BSE4
A	1.0	247.0	x-ray diffraction	1.55	8.0	3K1Z	Q9BSH5
C	1.0	271.0	x-ray diffraction	2.15	257.0	3BU8	Q9BSI4
A	1.0	241.0	solution nmr	-1.0	172.0	2DAI	Q9BSL1
B	1.0	254.0	x-ray diffraction	1.85	167.0	4HPM	Q9BSM1
A	1.0	436.0	x-ray diffraction	2.35	55.0	4Y5O	Q9BSQ5
A	1.0	315.0	solution nmr	-1.0	181.0	2ENP	Q9BSW7
A	1.0	93.0	solution nmr	-1.0	11.0	2LQL	Q9BSY4
A	1.0	104.0	solution nmr	-1.0	33.0	2LZU	Q9BT23
A	1.0	206.0	x-ray diffraction	1.35	17.0	4QKD	Q9BT30
A	1.0	122.0	x-ray diffraction	2.0	1.0	2Z5E	Q9BT73
D	1.0	406.0	x-ray diffraction	4.08	1.0	4D18	Q9BT78
A	1.0	322.0	solution nmr	-1.0	265.0	2M3H	Q9BTC0
B	1.0	159.0	x-ray diffraction	1.7	153.0	4KG9	Q9BTE3
T	1.0	38.0	x-ray diffraction	2.58	31.0	4EDU	Q9BTM1
A	1.0	117.0	solution nmr	-1.0	55.0	2DJR	Q9BTP6
A	1.0	215.0	solution nmr	-1.0	1.0	2M9M	Q9BTP7
E	1.0	196.0	x-ray diffraction	2.61	173.0	4NFT	Q9BTT0
A	1.0	454.0	x-ray diffraction	2.95	78.0	4HNE	Q9BTU6
A	1.0	278.0	x-ray diffraction	1.7	25.0	3O4R	Q9BTZ2
A	1.0	214.0	x-ray diffraction	1.5	2.0	3BHD	Q9BU02
A	1.0	486.0	solution nmr	-1.0	1.0	2DLK	Q9BU19
A	1.0	285.0	x-ray diffraction	1.7	1.0	4D50	Q9BU89
A	1.0	450.0	x-ray diffraction	2.5	39.0	2HW6	Q9BUB5
B	1.0	248.0	x-ray diffraction	1.8	34.0	3D34	Q9BUD6
A	1.0	145.0	x-ray diffraction	2.6	5.0	4WJA	Q9BUH6
A	1.0	532.0	x-ray diffraction	2.8	1.0	2XUB	Q9BUI4
A	1.0	37.0	solution nmr	-1.0	1.0	1ZRJ	Q9BUJ2
A	1.0	110.0	solution nmr	-1.0	39.0	2LQT	Q9BUK0
A	1.0	212.0	x-ray diffraction	1.95	1.0	4GEH	Q9BUL8
A	1.0	270.0	x-ray diffraction	1.7	39.0	2BKA	Q9BUP3
A	1.0	806.0	x-ray diffraction	2.0	352.0	4NHO	Q9BUQ8
A	1.0	245.0	x-ray diffraction	1.84	1.0	2AG5	Q9BUT1
A	1.0	470.0	x-ray diffraction	2.3	102.0	4K8U	Q9BUZ4
A	1.0	357.0	x-ray diffraction	2.5	2.0	4LDQ	Q9BV20
A	1.0	74.0	x-ray diffraction	1.4	11.0	4WY4	Q9BV40
A	1.0	211.0	x-ray diffraction	1.67	61.0	2E0T	Q9BV47
A	1.0	178.0	x-ray diffraction	3.05	1.0	4QGN	Q9BV57
A	1.0	373.0	x-ray diffraction	2.41	40.0	2VCY	Q9BV79
A	1.0	223.0	x-ray diffraction	1.75	2.0	5E1M	Q9BV86
A	1.0	441.0	x-ray diffraction	2.98	105.0	4U0U	Q9BVA6
D	1.0	324.0	x-ray diffraction	3.5	8.0	4JSX	Q9BVC4
A	1.0	788.0	x-ray diffraction	1.85	467.0	2H58	Q9BVG8
A	1.0	137.0	x-ray diffraction	2.0	4.0	3P8D	Q9BVI0
A	1.0	150.0	x-ray diffraction	1.93	1.0	2IMG	Q9BVJ7
B	1.0	428.0	x-ray diffraction	2.5	341.0	4JO9	Q9BVL2
A	1.0	151.0	x-ray diffraction	0.98	1.0	3JUD	Q9BVM4
A	1.0	666.0	x-ray diffraction	2.0	483.0	4GIW	Q9BVN2
D	1.0	403.0	x-ray diffraction	2.29	391.0	5DHF	Q9BVS4
A	1.0	472.0	x-ray diffraction	2.5	149.0	2B25	Q9BVS5
A	1.0	661.0	x-ray diffraction	2.6	310.0	2REP	Q9BW19
A	1.0	176.0	solution nmr	-1.0	1.0	2JRF	Q9BW30
A	1.0	350.0	x-ray diffraction	1.81	59.0	1Q33	Q9BW91
A	1.0	397.0	x-ray diffraction	1.55	4.0	1WL4	Q9BWD1
A	1.0	77.0	solution nmr	-1.0	1.0	2DNQ	Q9BWF3
A	1.0	284.0	x-ray diffraction	2.87	130.0	4YMD	Q9BWP8
B	1.0	418.0	x-ray diffraction	2.7	33.0	3BXW	Q9BWS9
A	1.0	501.0	x-ray diffraction	2.79	17.0	4LT6	Q9BWT3
A	1.0	276.0	x-ray diffraction	1.55	149.0	4H87	Q9BWU0
C	1.0	814.0	x-ray diffraction	1.9	711.0	3N1G	Q9BWV1
B	1.0	1138.0	x-ray diffraction	2.15	985.0	3AL3	Q9BX63
A	1.0	1294.0	solution nmr	-1.0	1051.0	2MOX	Q9BX66
A	1.0	163.0	x-ray diffraction	1.19	48.0	4INC	Q9BX68
A	1.0	525.0	x-ray diffraction	2.2	370.0	3NO8	Q9BX70
A	1.0	527.0	x-ray diffraction	2.2	26.0	4QXE	Q9BXB1
A	1.0	165.0	solution nmr	-1.0	59.0	2D9X	Q9BXB4
B	1.0	154.0	x-ray diffraction	1.98	130.0	4BPI	Q9BXH1
A	1.0	243.0	x-ray diffraction	1.34	103.0	4F3J	Q9BXJ0
A	1.0	110.0	x-ray diffraction	3.2	21.0	4JUP	Q9BXL7
A	1.0	104.0	x-ray diffraction	2.7	14.0	4CMZ	Q9BXM0
B	1.0	776.0	x-ray diffraction	2.2	628.0	2J67	Q9BXR5
A	1.0	227.0	x-ray diffraction	1.81	1.0	2PNY	Q9BXS1
A	1.0	1026.0	solution nmr	-1.0	949.0	2EQK	Q9BXT8
A	1.0	126.0	x-ray diffraction	3.1	8.0	3WAP	Q9BXW4
A	1.0	308.0	x-ray diffraction	2.8	14.0	3Q84	Q9BY11
A	1.0	194.0	x-ray diffraction	2.8	1.0	2J4E	Q9BY32
A	1.0	377.0	x-ray diffraction	2.31	10.0	4QA7	Q9BY41
B	1.0	265.0	x-ray diffraction	2.15	253.0	3C3O	Q9BY43
A	1.0	303.0	x-ray diffraction	1.9	5.0	1YXM	Q9BY49
A	1.0	384.0	solution nmr	-1.0	79.0	2YQE	Q9BY66
B	1.0	439.0	x-ray diffraction	2.3	45.0	3BIN	Q9BY67
A	1.0	138.0	x-ray diffraction	2.2	5.0	2VSW	Q9BY84
X	1.0	572.0	x-ray diffraction	2.61	108.0	2DE0	Q9BYC5
A	1.0	182.0	solution nmr	-1.0	124.0	2DJB	Q9BYE7
A	1.0	615.0	x-ray diffraction	3.31	19.0	3KBH	Q9BYF1
B	1.0	267.0	solution nmr	-1.0	228.0	2AFF	Q9BYG3
A	1.0	802.0	solution nmr	-1.0	745.0	2YRA	Q9BYH1
A	1.0	79.0	solution nmr	-1.0	8.0	2EGP	Q9BYJ4
A	1.0	559.0	x-ray diffraction	1.97	364.0	4RCI	Q9BYJ9
A	1.0	232.0	x-ray diffraction	2.71	51.0	4DBG	Q9BYM8
A	1.0	137.0	solution nmr	-1.0	17.0	1YZS	Q9BYN0
A	1.0	168.0	x-ray diffraction	2.15	122.0	3Q1D	Q9BYV2
A	1.0	129.0	x-ray diffraction	2.2	9.0	3OHV	Q9BYV9
A	1.0	2561.0	solution nmr	-1.0	1444.0	2MDJ	Q9BYW2
A	1.0	151.0	solution nmr	-1.0	46.0	2DHK	Q9BYX2
